,random_face_number,image_name,face_tensor,auto_gender
85,85,posts\jacobjensen_venstre\pic_16.jpeg,"tensor([ 90.8343, 100.1942, 125.0987, 140.4613])",Man
86,86,posts\jacobjensen_venstre\pic_16.jpeg,"tensor([229.8392, 112.2696, 263.1458, 151.6949])",Man
87,87,posts\jacobjensen_venstre\pic_16.jpeg,"tensor([469.7174, 117.3477, 510.7538, 166.4721])",Man
88,88,posts\mariebjerre.dk\pic_27.jpeg,"tensor([284.3701,  96.0509, 421.9007, 270.9186])",Woman
89,89,posts\mette.abildgaard\pic_33.jpeg,"tensor([263.1401,  98.4293, 470.4204, 363.4060])",Man
90,90,posts\mette.thiesen\pic_18.jpeg,"tensor([ 53.8038,  54.0534, 375.8585, 486.9756])",Woman
91,91,posts\havorla\pic_6.jpeg,"tensor([517.1207, 248.2819, 540.5390, 278.4116])",Man
92,92,posts\havorla\pic_6.jpeg,"tensor([422.6419, 253.6774, 445.1675, 282.9298])",Woman
93,93,posts\havorla\pic_6.jpeg,"tensor([171.2083, 315.2834, 196.8338, 346.2598])",Woman
94,94,posts\havorla\pic_6.jpeg,"tensor([ 89.1685, 312.5632, 114.3925, 344.3659])",Woman
95,95,posts\havorla\pic_6.jpeg,"tensor([428.4909, 295.3674, 452.3542, 324.5315])",Woman
96,96,posts\havorla\pic_6.jpeg,"tensor([598.1254, 239.3837, 624.3622, 270.3375])",Woman
97,97,posts\havorla\pic_6.jpeg,"tensor([525.7420, 288.0166, 551.0526, 318.2881])",Man
98,98,posts\havorla\pic_6.jpeg,"tensor([570.2604, 240.1352, 592.4403, 267.4282])",Woman
99,99,posts\havorla\pic_6.jpeg,"tensor([103.0732, 269.6017, 128.2045, 298.1586])",Man
100,100,posts\havorla\pic_6.jpeg,"tensor([267.9103, 321.4488, 290.8283, 350.0672])",Woman
101,101,posts\mariebjerre.dk\pic_49.jpeg,"tensor([381.3132, 110.4502, 467.2610, 207.5583])",Woman
102,102,posts\lind_annette\pic_21.jpeg,"tensor([358.0445, 212.6796, 517.6377, 417.7566])",Woman
103,103,posts\lind_annette\pic_21.jpeg,"tensor([  8.7816,  66.4889, 168.1176, 294.4886])",Man
104,104,posts\lind_annette\pic_21.jpeg,"tensor([310.3389, 428.5082, 358.5685, 489.2862])",Woman
105,105,posts\lind_annette\pic_21.jpeg,"tensor([378.4688, 452.7298, 536.8298, 574.4161])",Woman
106,106,posts\katrinerobsoe\pic_52.jpeg,"tensor([183.2296,  17.3145, 452.1654, 342.9020])",Woman
107,107,posts\akimati\pic_18.jpeg,"tensor([157.0474,  31.6736, 216.4574, 109.7304])",Woman
108,108,posts\akimati\pic_18.jpeg,"tensor([446.7517,  64.0188, 498.9684, 130.5263])",Woman
109,109,posts\lisbethbp\pic_23.jpeg,"tensor([142.6761, 271.4772, 340.4935, 528.2183])",Woman
110,110,posts\lisbethbp\pic_23.jpeg,"tensor([173.9144, 115.1151, 385.0721, 395.8557])",Man
111,111,posts\lorentzenkristian\pic_6.jpeg,"tensor([ 44.4009, 169.6382, 296.6407, 485.1632])",Man
112,112,posts\zenia.stampe\pic_111.jpeg,"tensor([156.5636, 110.1240, 346.3499, 373.7986])",Man
113,113,posts\kirstennormann\pic_1.jpeg,"tensor([450.3067, 103.4198, 519.8401, 190.8872])",Woman
114,114,posts\heidibank\pic_30.jpeg,"tensor([361.0092, 130.0802, 404.7017, 183.6324])",Woman
115,115,posts\rasmusprehn\pic_97.jpeg,"tensor([ 39.5749, 120.7955, 120.8808, 224.8538])",Man
116,116,posts\maimercado_dk\pic_37.jpeg,"tensor([347.1058,   7.6401, 594.7962, 286.2220])",Man
117,117,posts\maimercado_dk\pic_37.jpeg,"tensor([342.5210, 555.0822, 404.0838, 625.6577])",Woman
118,118,posts\kathrineolldag\pic_44.jpeg,"tensor([387.4023, 133.4637, 608.5733, 417.6892])",Woman
119,119,posts\kathrineolldag\pic_44.jpeg,"tensor([144.8806, 267.7700, 251.2095, 411.4863])",Woman
120,120,posts\magnusheunicke\pic_103.jpeg,"tensor([230.7046,  95.8658, 433.5364, 401.0551])",Man
121,121,posts\evakjerhansen\pic_35.jpeg,"tensor([288.3028, 393.7359, 397.9942, 543.8323])",Woman
122,122,posts\evakjerhansen\pic_35.jpeg,"tensor([125.4043, 293.3345, 277.0379, 500.9026])",Woman
123,123,posts\rosa_lund\pic_23.jpeg,"tensor([383.2108, 205.0143, 415.9956, 250.8824])",Man
124,124,posts\rosa_lund\pic_23.jpeg,"tensor([271.8626,  85.9634, 295.0561, 117.2607])",Man
125,125,posts\rosa_lund\pic_23.jpeg,"tensor([419.4064,  66.4185, 447.3604, 102.7860])",Man
126,126,posts\rosa_lund\pic_23.jpeg,"tensor([575.5418,  55.6840, 607.4326,  98.1919])",Man
127,127,posts\rosa_lund\pic_23.jpeg,"tensor([193.1033,  85.0255, 222.5953, 125.3378])",Man
128,128,posts\rosa_lund\pic_23.jpeg,"tensor([303.2744, 135.8824, 337.6520, 178.5564])",Man
129,129,posts\rosa_lund\pic_23.jpeg,"tensor([323.5966,  80.6940, 348.0367, 109.4419])",Man
130,130,posts\mettedencker\pic_19.jpeg,"tensor([298.4605, 119.5825, 548.0944, 456.7595])",Man
131,131,posts\mettedencker\pic_19.jpeg,"tensor([118.9059, 221.4701, 294.9870, 458.9941])",Woman
132,132,posts\jerohde\pic_13.jpeg,"tensor([ 13.2833,  57.2370, 239.0755, 374.5436])",Man
133,133,posts\jerohde\pic_13.jpeg,"tensor([280.7542, 171.2271, 508.2787, 488.8542])",Man
134,134,posts\astridcaroe\pic_24.jpeg,"tensor([122.3807, 158.0879, 179.5613, 227.2299])",Woman
135,135,posts\astridcaroe\pic_24.jpeg,"tensor([200.0199, 147.9494, 225.3403, 182.6061])",Man
136,136,posts\evakjerhansen\pic_31.jpeg,"tensor([112.4587,  21.5523, 200.6974, 130.6680])",Man
137,137,posts\simonkollerup\pic_15.jpeg,"tensor([286.1531, 110.5246, 345.6661, 198.0113])",Man
138,138,posts\peter_skaarup\pic_8.jpeg,"tensor([115.5997,  74.3213, 213.9151, 198.7248])",Man
139,139,posts\peter_skaarup\pic_8.jpeg,"tensor([355.8688,  99.6802, 413.1361, 178.1792])",Woman
140,140,posts\mette\pic_289.jpeg,"tensor([517.1257, 129.5677, 574.5717, 208.2394])",Woman
141,141,posts\rasmusprehn\pic_123.jpeg,"tensor([503.0109,  79.2560, 642.3699, 324.9959])",Man
142,142,posts\peter_seier_christensen\pic_112.jpeg,"tensor([260.7479,  26.2506, 391.2140, 201.3380])",Man
143,143,posts\peter_seier_christensen\pic_112.jpeg,"tensor([ 91.9768,  29.6147, 270.0564, 245.1699])",Man
144,144,posts\astridkrag\pic_105.jpeg,"tensor([572.3157,  54.2667, 645.5111, 205.9693])",Man
